,Data,Open,High,Low,Close,Volume,Ajustado,Retornos,Retornos Ajustados
409,2002-08-29,10351,10519,10175,10455,0,10455,104,104
410,2002-08-30,10465,10604,10382,10382,0,10382,-83,-83
411,2002-09-02,10383,10477,10312,10378,0,10378,-5,-5
412,2002-09-03,10365,10372,10065,10136,0,10136,-229,-229
413,2002-09-04,10167,10174,9921,9997,0,9997,-170,-170
414,2002-09-05,9993,9993,9709,9723,0,9723,-270,-270
415,2002-09-06,9739,9882,9643,9717,0,9717,-22,-22
416,2002-09-09,9725,9955,9716,9954,0,9954,229,229
417,2002-09-10,9962,10052,9841,9960,0,9960,-2,-2
418,2002-09-11,9967,10248,9967,10182,0,10182,215,215
419,2002-09-12,10182,10188,10032,10173,0,10173,-9,-9
420,2002-09-13,10156,10219,10086,10181,0,10181,25,25
421,2002-09-16,10171,10172,9822,9831,0,9831,-340,-340
422,2002-09-17,9855,9943,9613,9650,0,9650,-205,-205
423,2002-09-18,9626,9638,9399,9505,0,9505,-121,-121
424,2002-09-19,9512,9626,9353,9372,0,9372,-140,-140
425,2002-09-20,9375,9638,9375,9585,0,9585,210,210
426,2002-09-23,9575,9575,9137,9264,0,9264,-311,-311
427,2002-09-24,9245,9341,9069,9148,0,9148,-97,-97
428,2002-09-25,9207,9357,9207,9228,0,9228,21,21
429,2002-09-26,9251,9386,9170,9199,0,9199,-52,-52
430,2002-09-27,9200,9202,8703,8716,0,8716,-484,-484
431,2002-09-30,8718,8720,8352,8623,0,8623,-95,-95
432,2002-10-01,8642,9021,8637,8998,0,8998,356,356
433,2002-10-02,9011,9132,8811,8820,0,8820,-191,-191
434,2002-10-03,8852,9170,8807,9140,0,9140,288,288
435,2002-10-04,9151,9319,9092,9260,0,9260,109,109
436,2002-10-07,9268,9288,8841,8863,0,8863,-405,-405
437,2002-10-08,8870,8909,8691,8847,0,8847,-23,-23
438,2002-10-09,8838,9291,8604,8715,0,8715,-123,-123
439,2002-10-10,8708,8932,8707,8866,0,8866,158,158
440,2002-10-11,8864,9042,8832,8855,0,8855,-9,-9
441,2002-10-14,8853,8853,8430,8451,0,8451,-402,-402
