Data,Open,High,Low,Close,Volume,Ajustado
4/8/2003,12124,12136,11732,11779,0,11779
4/9/2003,11784,11904,11754,11759,0,11759
4/10/2003,11784,11819,11578,11591,0,11591
4/11/2003,11614,11753,11608,11719,0,11719
4/14/2003,11726,11889,11719,11874,0,11874
4/15/2003,11865,12111,11828,12106,0,12106
4/16/2003,12120,12245,12012,12043,0,12043
4/17/2003,12052,12432,12052,12395,0,12395
4/22/2003,12393,12502,12245,12452,0,12452
4/23/2003,12455,12455,12315,12394,0,12394
4/24/2003,12370,12383,12100,12120,0,12120
4/25/2003,12124,12185,12059,12126,0,12126
4/28/2003,12128,12480,12009,12462,0,12462
4/29/2003,12470,12820,12470,12678,0,12678
4/30/2003,12713,12746,12557,12557,0,12557
5/2/2003,12565,12866,12542,12810,0,12810
5/5/2003,12829,12870,12717,12833,0,12833
